ticker,exchange,shares,avg_cost,currency,price_source,symbol_yf,manual_price,notes
AMZN,US,2.03564209,0,USD,yfinance,AMZN,,Active position
GLD,US,0.27129634,0,USD,yfinance,GLD,,Active position
NVDA,US,1.6278477,0,USD,yfinance,NVDA,,Active position
VSCO,US,2.24133615,0,USD,yfinance,VSCO,,Active position
MTNN,NG,41.0,0,NGN,manual,MTNN.LG,779.1,Active position (set manual price if yfinance fails)
NB,NG,400.0,0,NGN,manual,NB.LG,78.0,Active position (set manual price if yfinance fails)
NGXGROUP,NG,400.0,0,NGN,manual,NGXGROUP.LG,176.5,Active position (set manual price if yfinance fails)
OKOMUOIL,NG,10.0,0,NGN,manual,OKOMUOIL.LG,1765.0,Active position (set manual price if yfinance fails)
PRESCO,NG,14.0,0,NGN,manual,PRESCO.LG,2083.0,Active position (set manual price if yfinance fails)
SEPLAT,NG,5.0,0,NGN,manual,SEPLAT.LG,9099.0,Active position (set manual price if yfinance fails)
OANDO,NG,230.0,0,NGN,manual,OANDO.LG,48.85,Active position (set manual price if yfinance fails)
